fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
fly_81	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	684
fly_82	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	38
fly_82	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	200
fly_83	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	15
fly_83	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	264
fly_84	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	166
fly_84	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	147
fly_85	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	31
fly_85	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	297
fly_86	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	24
fly_86	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	439
fly_87	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	25
fly_87	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	1326
fly_88	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	26
fly_88	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	444
fly_89	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	15
fly_89	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	256
fly_90	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	612
fly_90	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	243
fly_91	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	257
fly_91	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	608
fly_92	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	36
fly_92	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	309
fly_93	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	18
fly_93	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	437
fly_94	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	11
fly_94	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	165
fly_95	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	40
fly_95	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	342
fly_96	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	169
fly_96	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	135
fly_97	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	400
fly_97	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	104
fly_98	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	78
fly_98	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	99
fly_99	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	31
fly_99	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	42
fly_100	D. melanogaster	Canton-S	male	noni juice vs grape juice	noni_juice	21
fly_100	D. melanogaster	Canton-S	male	noni juice vs grape juice	grape_juice	235
fly_101	D. simulans	04	female	noni juice vs grape juice	noni_juice	50
fly_101	D. simulans	04	female	noni juice vs grape juice	grape_juice	596
fly_102	D. simulans	04	female	noni juice vs grape juice	noni_juice	10
fly_102	D. simulans	04	female	noni juice vs grape juice	grape_juice	310
fly_103	D. simulans	04	female	noni juice vs grape juice	noni_juice	146
fly_103	D. simulans	04	female	noni juice vs grape juice	grape_juice	731
fly_104	D. simulans	04	female	noni juice vs grape juice	noni_juice	24
fly_104	D. simulans	04	female	noni juice vs grape juice	grape_juice	596
fly_105	D. simulans	04	female	noni juice vs grape juice	noni_juice	85
fly_105	D. simulans	04	female	noni juice vs grape juice	grape_juice	289
fly_106	D. simulans	04	female	noni juice vs grape juice	noni_juice	19
fly_106	D. simulans	04	female	noni juice vs grape juice	grape_juice	320
fly_107	D. simulans	04	female	noni juice vs grape juice	noni_juice	415
fly_107	D. simulans	04	female	noni juice vs grape juice	grape_juice	587
fly_108	D. simulans	04	female	noni juice vs grape juice	noni_juice	21
fly_108	D. simulans	04	female	noni juice vs grape juice	grape_juice	194
fly_109	D. simulans	04	female	noni juice vs grape juice	noni_juice	31
fly_109	D. simulans	04	female	noni juice vs grape juice	grape_juice	287
fly_110	D. simulans	04	female	noni juice vs grape juice	noni_juice	292
fly_110	D. simulans	04	female	noni juice vs grape juice	grape_juice	301
fly_111	D. simulans	04	female	noni juice vs grape juice	noni_juice	28
fly_111	D. simulans	04	female	noni juice vs grape juice	grape_juice	334
fly_112	D. sechellia	07	female	noni juice vs grape juice	noni_juice	226
fly_112	D. sechellia	07	female	noni juice vs grape juice	grape_juice	541
fly_113	D. sechellia	07	female	noni juice vs grape juice	noni_juice	473
fly_113	D. sechellia	07	female	noni juice vs grape juice	grape_juice	351
fly_114	D. sechellia	07	female	noni juice vs grape juice	noni_juice	130
fly_114	D. sechellia	07	female	noni juice vs grape juice	grape_juice	215
fly_115	D. sechellia	07	female	noni juice vs grape juice	noni_juice	275
fly_115	D. sechellia	07	female	noni juice vs grape juice	grape_juice	376
fly_116	D. sechellia	07	female	noni juice vs grape juice	noni_juice	129
fly_116	D. sechellia	07	female	noni juice vs grape juice	grape_juice	275
fly_117	D. sechellia	07	female	noni juice vs grape juice	noni_juice	177
fly_117	D. sechellia	07	female	noni juice vs grape juice	grape_juice	257
fly_118	D. sechellia	07	female	noni juice vs grape juice	noni_juice	155
fly_118	D. sechellia	07	female	noni juice vs grape juice	grape_juice	149
fly_119	D. sechellia	07	female	noni juice vs grape juice	noni_juice	337
fly_119	D. sechellia	07	female	noni juice vs grape juice	grape_juice	138
fly_120	D. sechellia	07	female	noni juice vs grape juice	noni_juice	55
fly_120	D. sechellia	07	female	noni juice vs grape juice	grape_juice	226
fly_121	D. sechellia	07	female	noni juice vs grape juice	noni_juice	145
fly_121	D. sechellia	07	female	noni juice vs grape juice	grape_juice	296
fly_122	D. sechellia	07	female	noni juice vs grape juice	noni_juice	254
fly_122	D. sechellia	07	female	noni juice vs grape juice	grape_juice	498
fly_123	D. sechellia	07	female	noni juice vs grape juice	noni_juice	287
fly_123	D. sechellia	07	female	noni juice vs grape juice	grape_juice	283
fly_124	D. sechellia	07	female	noni juice vs grape juice	noni_juice	309
fly_124	D. sechellia	07	female	noni juice vs grape juice	grape_juice	518
fly_125	D. sechellia	07	female	noni juice vs grape juice	noni_juice	161
fly_125	D. sechellia	07	female	noni juice vs grape juice	grape_juice	262
fly_126	D. sechellia	07	female	noni juice vs grape juice	noni_juice	114
fly_126	D. sechellia	07	female	noni juice vs grape juice	grape_juice	193
fly_127	D. sechellia	07	female	noni juice vs grape juice	noni_juice	142
fly_127	D. sechellia	07	female	noni juice vs grape juice	grape_juice	651
fly_128	D. sechellia	07	male	noni juice vs grape juice	noni_juice	68
fly_128	D. sechellia	07	male	noni juice vs grape juice	grape_juice	614
fly_129	D. sechellia	07	male	noni juice vs grape juice	noni_juice	369
fly_129	D. sechellia	07	male	noni juice vs grape juice	grape_juice	322
fly_130	D. sechellia	07	male	noni juice vs grape juice	noni_juice	38
fly_130	D. sechellia	07	male	noni juice vs grape juice	grape_juice	417
fly_131	D. sechellia	07	male	noni juice vs grape juice	noni_juice	143
fly_131	D. sechellia	07	male	noni juice vs grape juice	grape_juice	395
fly_132	D. sechellia	07	male	noni juice vs grape juice	noni_juice	164
fly_132	D. sechellia	07	male	noni juice vs grape juice	grape_juice	150
fly_133	D. sechellia	07	male	noni juice vs grape juice	noni_juice	152
fly_133	D. sechellia	07	male	noni juice vs grape juice	grape_juice	97
fly_134	D. sechellia	07	male	noni juice vs grape juice	noni_juice	170
fly_134	D. sechellia	07	male	noni juice vs grape juice	grape_juice	413
fly_135	D. sechellia	07	male	noni juice vs grape juice	noni_juice	123
fly_135	D. sechellia	07	male	noni juice vs grape juice	grape_juice	85
fly_136	D. sechellia	07	male	noni juice vs grape juice	noni_juice	1101
fly_136	D. sechellia	07	male	noni juice vs grape juice	grape_juice	314
fly_137	D. sechellia	07	male	noni juice vs grape juice	noni_juice	127
fly_137	D. sechellia	07	male	noni juice vs grape juice	grape_juice	234
fly_138	D. sechellia	07	male	noni juice vs grape juice	noni_juice	324
fly_138	D. sechellia	07	male	noni juice vs grape juice	grape_juice	166
fly_139	D. sechellia	07	male	noni juice vs grape juice	noni_juice	61
fly_139	D. sechellia	07	male	noni juice vs grape juice	grape_juice	262
fly_140	D. sechellia	07	male	noni juice vs grape juice	noni_juice	180
fly_140	D. sechellia	07	male	noni juice vs grape juice	grape_juice	291
fly_141	D. sechellia	07	male	noni juice vs grape juice	noni_juice	351
fly_141	D. sechellia	07	male	noni juice vs grape juice	grape_juice	158
fly_142	D. sechellia	07	male	noni juice vs grape juice	noni_juice	143
fly_142	D. sechellia	07	male	noni juice vs grape juice	grape_juice	86
fly_143	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	284
fly_143	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	628
fly_144	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	355
fly_144	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	995
fly_145	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1078
fly_145	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	651
fly_146	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	483
fly_146	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	736
fly_147	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	153
fly_147	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	133
fly_148	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	3210
fly_148	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	858
fly_149	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	2102
fly_149	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1301
fly_150	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1340
fly_150	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1350
fly_151	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	2759
fly_151	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1379
fly_152	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	985
fly_152	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	210
fly_153	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	179
fly_153	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1233
fly_154	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	209
fly_154	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	343
fly_155	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1627
fly_155	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	724
