date	fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
NA	fly_50	D. sechellia	07	female	noni juice vs grape juice	grape_juice	352
NA	fly_51	D. sechellia	07	female	noni juice vs grape juice	noni_juice	175
NA	fly_51	D. sechellia	07	female	noni juice vs grape juice	grape_juice	705
NA	fly_52	D. sechellia	07	female	noni juice vs grape juice	noni_juice	845
NA	fly_52	D. sechellia	07	female	noni juice vs grape juice	grape_juice	224
NA	fly_53	D. sechellia	07	female	noni juice vs grape juice	noni_juice	411
NA	fly_53	D. sechellia	07	female	noni juice vs grape juice	grape_juice	343
NA	fly_54	D. sechellia	07	female	noni juice vs grape juice	noni_juice	354
NA	fly_54	D. sechellia	07	female	noni juice vs grape juice	grape_juice	320
NA	fly_55	D. sechellia	07	female	noni juice vs grape juice	noni_juice	228
NA	fly_55	D. sechellia	07	female	noni juice vs grape juice	grape_juice	491
NA	fly_56	D. sechellia	07	female	noni juice vs grape juice	noni_juice	365
NA	fly_56	D. sechellia	07	female	noni juice vs grape juice	grape_juice	515
NA	fly_57	D. sechellia	07	male	noni juice vs grape juice	noni_juice	220
NA	fly_57	D. sechellia	07	male	noni juice vs grape juice	grape_juice	70
NA	fly_58	D. sechellia	07	male	noni juice vs grape juice	noni_juice	172
NA	fly_58	D. sechellia	07	male	noni juice vs grape juice	grape_juice	149
NA	fly_59	D. sechellia	07	male	noni juice vs grape juice	noni_juice	407
NA	fly_59	D. sechellia	07	male	noni juice vs grape juice	grape_juice	151
NA	fly_60	D. sechellia	07	male	noni juice vs grape juice	noni_juice	251
NA	fly_60	D. sechellia	07	male	noni juice vs grape juice	grape_juice	150
NA	fly_61	D. sechellia	07	male	noni juice vs grape juice	noni_juice	73
NA	fly_61	D. sechellia	07	male	noni juice vs grape juice	grape_juice	90
NA	fly_62	D. sechellia	07	male	noni juice vs grape juice	noni_juice	15
NA	fly_62	D. sechellia	07	male	noni juice vs grape juice	grape_juice	52
NA	fly_63	D. sechellia	07	male	noni juice vs grape juice	noni_juice	431
NA	fly_63	D. sechellia	07	male	noni juice vs grape juice	grape_juice	35
NA	fly_64	D. sechellia	07	male	noni juice vs grape juice	noni_juice	165
NA	fly_64	D. sechellia	07	male	noni juice vs grape juice	grape_juice	216
NA	fly_65	D. sechellia	07	male	noni juice vs grape juice	noni_juice	43
NA	fly_65	D. sechellia	07	male	noni juice vs grape juice	grape_juice	211
NA	fly_66	D. sechellia	07	male	noni juice vs grape juice	noni_juice	45
NA	fly_66	D. sechellia	07	male	noni juice vs grape juice	grape_juice	57
NA	fly_67	D. sechellia	07	male	noni juice vs grape juice	noni_juice	132
NA	fly_67	D. sechellia	07	male	noni juice vs grape juice	grape_juice	256
NA	fly_68	D. sechellia	07	male	noni juice vs grape juice	noni_juice	255
NA	fly_68	D. sechellia	07	male	noni juice vs grape juice	grape_juice	210
NA	fly_69	D. sechellia	07	male	noni juice vs grape juice	noni_juice	278
NA	fly_69	D. sechellia	07	male	noni juice vs grape juice	grape_juice	25
NA	fly_70	D. sechellia	07	male	noni juice vs grape juice	noni_juice	143
NA	fly_70	D. sechellia	07	male	noni juice vs grape juice	grape_juice	181
NA	fly_71	D. sechellia	07	male	noni juice vs grape juice	noni_juice	288
NA	fly_71	D. sechellia	07	male	noni juice vs grape juice	grape_juice	173
NA	fly_72	D. sechellia	07	male	noni juice vs grape juice	noni_juice	431
NA	fly_72	D. sechellia	07	male	noni juice vs grape juice	grape_juice	225
NA	fly_73	D. sechellia	07	male	noni juice vs grape juice	noni_juice	224
NA	fly_73	D. sechellia	07	male	noni juice vs grape juice	grape_juice	409
2021-09-15	fly_74	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	56
2021-09-15	fly_74	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	867
2021-09-15	fly_75	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	109
2021-09-15	fly_75	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	642
2021-09-15	fly_76	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	69
2021-09-15	fly_76	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	313
2021-09-15	fly_77	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	11
2021-09-15	fly_77	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	268
2021-09-15	fly_78	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	41
2021-09-15	fly_78	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	872
2021-09-15	fly_79	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	61
2021-09-15	fly_79	D. melanogaster	Canton-S	female	noni juice vs grape juice	grape_juice	307
2021-09-15	fly_80	D. melanogaster	Canton-S	female	noni juice vs grape juice	noni_juice	98
