fly_id	species	genotype	sex	stimulation	ROI_quantified	stimulus	dff
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	denatonium benzoate 10mM	0.35969282199863556
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.06964391240086208
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	water	0.01182819829140556
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	0.09487051073743806
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	0.03191174799693605
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	sucrose 200mM	0.1443004232762473
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	denatonium benzoate 10mM	0.32046044172006993
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.3357597238926815
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	water	0.2547424833825193
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.3205834689958208
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	0.02814686102168089
fly_4	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	sucrose 200mM	0.31294633581638653
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	denatonium benzoate 10mM	0.3324821793070466
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	0.41070920196657024
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	water	-0.05531326779316138
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	0.24642461854985284
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	-0.03638408515538084
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	sucrose 200mM	0.7110842793068914
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	denatonium benzoate 10mM	0.14209773179936458
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.15741226058330482
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	water	0.153699916285041
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	0.15839216511658563
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	-0.01099554319019931
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	sucrose 200mM	0.32523819948597754
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	denatonium benzoate 10mM	0.06317447487158824
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.06554340738727944
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	water	0.2321866800960526
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.08524622180886658
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	-0.01020140198704207
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	sucrose 200mM	0.17631818450712697
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	denatonium benzoate 10mM	0.4412442857373444
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.1288078484227527
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	water	0.07552348698175027
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	0.09548800056703098
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	0.05267915725233216
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	sucrose 200mM	0.1388659424419922
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	denatonium benzoate 10mM	0.22673593621636515
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.2661513990023763
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	water	0.2987463453593979
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.33895922533329326
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	0.01834599945741462
fly_5	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	sucrose 200mM	0.3849652319952478
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	denatonium benzoate 10mM	-0.08948213344325126
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	-0.06397335709408815
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	water	-0.07170794218012774
fly_6	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	-0.15589769147498805
